Index,Acts number,Acts 
,6 of 11,"Vide sections 69, 69A and 69B of the Income-tax Act, 1961"
,7 of 11,"Income-tax Act, 1961, the Wealth-tax Act, 1957"
,8 of 11,"Mines and Minerals Regulation and Development Act, 1957"
,9 of 11,"Income-tax Act , the Wealth-tax Act, 1957"
,10 of 11,"Act, 1961, the Wealth-tax Act, 1957 and the Gift- tax Act, 1958"
,11 of 11,"Taxation Laws Amendment and Miscellaneous Provisions Act, 1965"
3052,1 of 1,"Foreign Exchange and Prevention of Smuggling Activities Act, 1974"
3053,1 of 2,"Hindu Marriage Act, 1955"
,2 of 2,"Act, 1008"
3054,1 of 1,Indian Contract Act
3055,0 of 0,Empty
3056,1 of 1,"Foreign enchange and Prevention of Smuggling Activities Act, 1974"
3057,1 of 6,Act . The respondent filed petitions under s. 15 2 of the Act
,2 of 6,Payment of Wages Act hereinafter referred to as the Act
,3 of 6,"District Judge, Kota under the Payment of Wages Act"
,4 of 6,The learned District Judge directed the Authority under the Act
,5 of 6,Act before the Authority under the Act
,6 of 6,"As stated earlier, the Authority under the Act"
3058,1 of 5,"The effect of the Constitution Fourth Amendment Act, 1955"
,2 of 5,"State Government under s. 28 of the U.P. Sales Tax Act, 1948"
,3 of 5,"There can be numberdoubt that the Essential Commodities Act, 1955"
,4 of 5,"Constitution Third Amendment Act, 1954"
,5 of 5,"Uttar Pradesh are set up under s. 28 of the U.P. Sales Tax Act, 1948"
3059,1 of 14,"Muslim Waqf Act, 1960"
,2 of 14,"Muslim Wakfs Act, 1936 and the U. P. Muslim Wakfs Act, 1960"
,3 of 14,"Shia Wakfs under the P. Muslim Wakfs Act, 1936"
,4 of 14,"Sunni Wakfs under sec. 29 of the U. P. Muslims Wakfs Act, 1960"
,5 of 14,"Bombay Police under sec. 37 of the Bombay Police Act, 1951"
,6 of 14,"January 1954 under sec. 5 1 of the U. P. Muslim Wakfs Act, 1936"
,7 of 14,"Wakfs Board under sec. 5 1 of the U. P. Muslim Wakf Act, 1936"
,8 of 14,Shia Wakfs under the U.P. Muslim 1091 Wakfs Act. 1936
,9 of 14,"Wakfs of Mohalla Doshipura under the U. P. Muslim Wakfs Act, 1936"
,10 of 14,"Notification under s.5 1 of the U.P. Muslim Wakfs Act, 1936"
,11 of 14,"Muslim Wakfs Act, 1936 and U.P. Muslim Wakfs Act, 1960"
,12 of 14,"Act, 1936 Act XVIII of 1936 and the U.P. Muslim Wakfs Act, 1960"
,13 of 14,"Sunni Wakfs under the two enactments U.P. Muslim Wakfs Act, 1936"
,14 of 14,"Central Waqfs Boards under s. 5 1 of the U.P. Muslim Waqfs Act, 1936"
3060,1 of 1,Section 63 of the Successions Act
3061,1 of 20,"Industrial Disputes Act, 1947"
,2 of 20,"Corporation Act, 1956, the Madhya Pradesh Municipalities Act, 1961"
,3 of 20,"Legislature passed the Haryana Minerals Vesting of Rights Act, 1973"
,4 of 20,"Section 127 1 i of the Madhya Pradesh Municipalities Act, 1961"
,5 of 20,"Corporation Act, 1956, or the Madhya Pradesh Municipalities Act, 1961"
,6 of 20,"Mines and Minerals Regulation and Development Act, 1957"
,7 of 20,"Corporation Act, 1956 or the Madhya Pradesh Municipalities Act, 1961"
,8 of 20,"Mines and Minerals Regulation and Develop- ment Act, 1957"
,9 of 20,"Madhya Pradesh Municipalities Corporation Act, 1956"
,10 of 20,"Mines and Minerals Regulation and Development Act, 1958"
,11 of 20,"Council has under the Madhya Pradesh Municipal Corporation Act, 1956"
,12 of 20,"The Parliament enacted the Coal Mines Nationalisation Act, 1973"
,13 of 20,"Bihar Land Reforms Act, 1950"
,14 of 20,"Industries Development and Regulation Act, 1951"
,15 of 20,"Mines and Minerals Development and Regulation Act, 1957"
,16 of 20,"Madras District Boards Act, 1920"
,17 of 20,"Municipalities Act, 1961, or the Madhya Pradesh Panchayats Act, 1962"
,18 of 20,"No. 23 of 1956 or the Madhya Pradesh Municipalities Act, 1961"
,19 of 20,"Government Company incorporated under the Companies Act, 1956"
,20 of 20,"Madhya Pradesh Municipality Act, 1961"
3062,1 of 1,Section 106 of the Transfer of Property Act
3063,1 of 2,Indian Evidence Act
,2 of 2,Section 11 A of the Industrial Disputes Act
3064,0 of 0,Empty
3065,1 of 2,Section 60 of the Transfer of Property Act
,2 of 2,Evidence Act
3066,0 of 0,Empty
3067,1 of 1,"Maintenance of Supplies of Essential Commodities Act, 1980"
3068,1 of 1,"Delhi Rent Control Act, 1958"
3069,0 of 0,Empty
3070,1 of 5,"Maharashtra Co-operative Societies Act, 1960"
,2 of 5,"Uttar Pradesh Temporary Control of Rent and Eviction Act, 1947"
,3 of 5,"Bombay Rents, Hotel and Lodging House Rates Control Act, 1947"
,4 of 5,"Bombay Rents, Hotel Lodging House Rates Control Act, 1947"
,5 of 5,"Provincial Small Cause Courts Act, 1887"
3071,1 of 1,"Foreign Exchange and Prevention of Smuggling Activities Act, 1974"
3072,1 of 8,"Parliament must have had in its view the Indian Income-tax Act, 1922"
,2 of 8,"Income-tax Act, 1961"
,3 of 8,"English Income-tax Act, 1918"
,4 of 8,"It is to be borne in mind that the Government of India Act, 1935"
,5 of 8,"India Act, 1935 was enacted when the Indian Income-tax Act, 1922"
,6 of 8,"Act, 1922 was in force. Section 9 of the Indian Income-tax Act, 1922"
,7 of 8,"That the Constitution makers had the Indian Income- tax Act, 1922"
,8 of 8,"List I of the Seventh Schedule to the Government of India Act, 1935"
3073,1 of 1,"Army Act, of the Cr. P.C. the Central Reserve Police Force Act, 1949"
3074,1 of 25,Court in Tarapore and Co. Madras v. Trac
,2 of 25,"Benjamin Jute Mills, by which the former were to manufac"
,3 of 25,"Rs. 85,84,456. The fac"
,4 of 25,If either of these companytrac
,5 of 25,You have taken the stand that by this ac
,6 of 25,Rs. 137 per tin. The companytrac
,7 of 25,From the narration of these fac
,8 of 25,In an ac
,9 of 25,Calcutta. Two instalments of the machinery were manufac
,10 of 25,In Stein v. Hambros Bank of Northern Commerce a companytrac
,11 of 25,This ac
,12 of 25,If such temporary injunctions were to be granted in a transac
,13 of 25,Uniform Customs and Prac
,14 of 25,"Bank of India, according to the banking prac"
,15 of 25,The right of the seller to maintain the ac
,16 of 25,"Shekar, Assistant Financial Controller, Godrej Soaps was ac"
,17 of 25,Banks are number companycerned with the sales companytrac
,18 of 25,The question that must necessarily arise is whether in the fac
,19 of 25,The fulfilment of the terms of the sales companytrac
,20 of 25,The credit companytrac
,21 of 25,"Credits, by their nature, are separate transac"
,22 of 25,"Art, 136 of the Constitution. The nature of the companytrac"
,23 of 25,Whether the Court should in a transac
,24 of 25,Bank of India ac
,25 of 25,"Bank, in a suit based on a bankers letter of credit. The fac"
3075,1 of 2,National Security Act
,2 of 2,Preventive Detention Act Central Act
3076,1 of 1,Evidence Act
3077,1 of 1,"Police Service, he was governed under All India Services Act, 1951"
3078,1 of 4,There is voluminous evidence of unimpeachable charac
,2 of 4,Billa companyld never have succeeded in his design. In fac
,3 of 4,Destiny and the stark fac
,4 of 4,The petitioner was an ac
3079,0 of 0,Empty
3080,1 of 2,Foreign Exchange and Prevention of Smuggling Activities Act
,2 of 2,This is a safeguard provided by the COFEPOSA Act
3081,1 of 3,"Mines and Minerals Regulation and Development Act, 1957"
,2 of 3,"Parliament enacted the Constitution Twelfth Amendment Act, 1962"
,3 of 3,"Central Government under the Government of India Act, 1935"
3082,1 of 2,"Income Tax Act, 1961 and the Gift Tax Act, 1958"
,2 of 2,"Taxes on income and under which the Income Tax Act, 1961"
3083,1 of 2,"Foreign Exchange and Prevention of Smuggling Activities Act, 1974"
,2 of 2,"Maintenance of Supplies of Essential Commodities Act, 1980"
3084,1 of 1,"Foreign Exchange and Prevention of Smuggling Activities Act, 1974"
3085,0 of 0,Empty
3086,1 of 2,"Code and Section 25 1 of the Antiquities and Art Treasures Act, 1972"
,2 of 2,"Code and Section 25 of the Antiquities and Art Treasures Act, 1972"
3087,1 of 2,"Indian academic status. The Indian Medical Council Act, 1956"
,2 of 2,"States Reorganisation Act, 1956"
3088,1 of 1,Prevention of Corruption Act
3089,1 of 1,"Income Tax Officer under Section 148 of the Income Tax Act, 1961"
3090,0 of 0,Empty
3091,1 of 1,"Penal Code and s. 5 2 of the Prevention of Corruption Act, 1947"
3092,1 of 3,"July 7, 1966, and was replaced by the Customs Amendment Act, 1966"
,2 of 3,"The Ordinance was replaced by the Customs Amendment Act, 1966"
,3 of 3,"Foreign Exchange Regulation Act, 1947"
3093,1 of 5,Hindus solemnized after the companymencement of the Act
,2 of 5,Hindus solemnized after the companymencement of this Act
,3 of 5,Court that Section 17 of the Hindu Marriage Act
,4 of 5,"It is therefore essential, for the purpose of s. 17 of the Act"
,5 of 5,Section 17 of Hindu Marriage Act
3094,1 of 1,Mysore Excise Act
3095,1 of 10,"Section 5, Clauses b and c of the Banking Companies Act, 1949"
,2 of 10,"Staff Regulation No. 15. The Gujarat Cooperative Societies Act, 1961"
,3 of 10,"Section 96 of the Gujarat Act, 1961"
,4 of 10,"The case is governed by the Gujarat Cooperative Societies Act, 1961"
,5 of 10,"Section 2 4 of the Bombay Industrial Relations Act, 1946"
,6 of 10,"Section 61 of the Andhra Pradesh Corporation Societies Act, 1964"
,7 of 10,"Section 61 of Andhra Pradesh Cooperative Societies Act, 1964"
,8 of 10,"Bombay Industrial 1028 Relations Act, 1946"
,9 of 10,"Society registered under the Bombay Cooperative Societies Act, 1925"
,10 of 10,"Act of 1961 and number by the Bombay Cooperative Societies Act, 1925"
3096,1 of 2,Evidence Act
,2 of 2,Customs Act
3097,0 of 0,Empty
3098,1 of 1,Police Act
3099,1 of 1,"It is number indispute before us that the Indian Trusts Act, 1882"
3100,0 of 0,Empty
3101,1 of 9,"Act IV of 1919 or the Madurai City Municipal Corporation Act, 1971"
,2 of 9,"The Tamil Nadu Public Men Criminal Misconduct Act, 1973"
,3 of 9,"Governor. Even in section 52 1 of the Government of India Act, 1935"
,4 of 9,"Tamil Nadu Panchayats Act, 1958"
,5 of 9,"Madras City Municipal Corporation Act, 1919"
,6 of 9,"Tamil Nadu District Municipalities Act, 1920"
,7 of 9,"Criminal Law Amendment Act, 1952"
,8 of 9,"Under section 3 60 of the General Clauses Act, 1897"
,9 of 9,"Companies Act, 1956"
3102,1 of 1,"Court Fees Act, 1870"
3103,1 of 5,"Landlord and Tenant Act, 1927"
,2 of 5,"Andhra Pradesh Buildings Lease, Rent and Eviction Control Act, 1960"
,3 of 5,"Constitution, Section 49 of the Advocates Act, 1961"
,4 of 5,"Andhra Pradesh Building Lease, Rent and Eviction Control Act, 1960"
,5 of 5,"Advocates Act, 1961, the Madras Shops and Establishments Act, 1947"
3104,1 of 5,"Agricultural Income Tax Act, 1948"
,2 of 5,"Indian Income-tax Act, 1922. The Indian Income-tax Act, 1922"
,3 of 5,"Partnership Act, 1932. Section 4 of the Indian Partnership Act, 1932"
,4 of 5,"Ltd., were incorporated under the Rampur State Companies Act, 1932"
,5 of 5,"United Provinces Agricultural Income-Tax Act, 1948"
3105,1 of 1,Contract Act
3106,1 of 6,Transfer of Property Act
,2 of 6,Even under section 6 of the Hindu Succession Act
,3 of 6,Save as otherwise expressly provided in this Act
,4 of 6,Bench relied upon the provisions of the Hindu Succession Act
,5 of 6,Under section 4 of the Hindu Succession Act
,6 of 6,Chapter II of the Hindu Succession Act
3107,1 of 2,"Punjab Pre-emption Act, 1913"
,2 of 2,"Punjab Pre-emption Act, 1930"
3108,1 of 3,Bombay Prevention of Gambling Act
,2 of 3,Bombay Act. That definition runs thus In this Act
,3 of 3,"The opinion of Shah, Act"
3109,1 of 6,"Bombay Tenancy and Agricultural Lands Gujarat Amendment Act, 1965"
,2 of 6,"Bombay Tenancy and Agricultural Lands Amendment Act, 1956"
,3 of 6,"Amending Act, 1955"
,4 of 6,"Bombay Tenancy and Agricultural Lands Act, 1948"
,5 of 6,"Bombay Provincial Municipal Corporations Act, 1948"
,6 of 6,"Tenancy Act 1948 or even one under the Bombay Tenancy Act, 1939"
3110,1 of 1,"Tenancy and Agricultural Lands Act, 1955"
3111,1 of 2,Prevention of Food Adulteration Act
,2 of 2,Food Adulteration Act 1954 hereinafter called the Act
3112,1 of 1,"Court Enlargement of Criminal Appellate Jurisdiction , Act"
3113,0 of 0,Empty
3114,1 of 15,Conduct Rules clearly provide that an ac
,2 of 15,Ist February 1962 and that the punitive or disciplinary ac
,3 of 15,In fac
,4 of 15,But before sub-rule  2  of rule 16 would be attrac
,5 of 15,Court  1  Whether rule 16 2  of the Retirement Rules is attrac
,6 of 15,The words ac
,7 of 15,Discipline and Appeal Rules provide for disciplinary ac
,8 of 15,State Government companyld number by unilateral ac
,9 of 15,"Misconduct means, misconduct arising from ill motive ac"
,10 of 15,The respondent was ac
,11 of 15,Where a member of a service has companymitted any ac
,12 of 15,Allegations in the various charges do number specify any ac
,13 of 15,Some other ac
,14 of 15,Did number keep Government informed of the ac
,15 of 15,These deficiencies in personal charac
3115,1 of 1,All India Services Act
3116,1 of 4,"Sale of Goods Act, 1930"
,2 of 4,"East Punjab Central Sales Tax Act, 1948"
,3 of 4,"Central Sales Tax Act, 1956"
,4 of 4,"India, were governed by the Bengal Finance Sales Tax Act, 1941"
3117,1 of 15,"Article 74 of the Limitation Act, 1963"
,2 of 15,"Section 5 2 of the Goa, Daman and Diu Administration Act, 1962"
,3 of 15,"Limitation that is repealed is the Limitation Act, 1908"
,4 of 15,"Code of Civil Procedure, 1908 and the Arbitration Act, 1940"
,5 of 15,"Section 1 2 extends the Limitation Act, 1963"
,6 of 15,"Code of Civil Procedure and the Arbitration Act Act, 1965"
,7 of 15,"Act, are repugnant to the provisions of the Limitation Act, 1963"
,8 of 15,"Limitation stand repealed by the Limitation Act, 1963"
,9 of 15,"Diu Administration Act extending the Indian Limitation Act, 1908"
,10 of 15,"Code of Civil Procedure, 1908 or the Arbitration Act, 1940"
,11 of 15,"Section 30. It was further urged that the Limitation Act, 1963"
,12 of 15,"Union Territory by the Constitution Twelfth Amendment Act, 1962"
,13 of 15,"Article 31 of the Schedule to the Limitation Act, 1963"
,14 of 15,"December, 1961. The Goa, Daman and Diu Administration Act, 1962"
,15 of 15,"Civil Code is saved by Section 29 2 of the Limitation Act, 1963"
3118,1 of 2,"Section 46 a of the Bengal Excise Act, 1909"
,2 of 2,"Section 167 12A of the Sea Customs Act, 1878"
3119,0 of 0,Empty
3120,1 of 2,Provided that a prosecution for an offence under this Act
,2 of 2,Prevention of Food Adulteration Act
3121,1 of 1,"School Teachers Absorption in Government Service Act, 1963"
3122,1 of 2,"Wealth-tax Act, 1957"
,2 of 2,"Wealth Tax Act, 1957"
3123,1 of 6,Section 2 ix of the Act
,2 of 6,"Act, read with Section 2 ix clause a  g of the Act"
,3 of 6,Section 2 ix  a of the Act
,4 of 6,Prevention of Food Adulteration Act
,5 of 6,Section 2 ix  a  g of the Act
,6 of 6,Food Adulteration Act read with Section 2 ix  k of the Act
3124,1 of 1,"Sales tax under the Punjab General Sales Tax Act, 1948"
3125,0 of 0,Empty
3126,1 of 2,Section 5 of the Limitation Act
,2 of 2,Section 39 1 of the Punjab Courts Act
3127,1 of 1,"Indian Income Tax Act, 1922"
3128,1 of 1,"Contempt of Courts Act, 1971"
3129,1 of 1,Mannulal Lakhanlal was registered under the Partnership Act
3130,1 of 3,"Parliament, one of which is the Payment of Bonus Act, 1965"
,2 of 3,"Amending Act, 1977"
,3 of 3,The Bonus Act 1965
3131,1 of 5,"Gujarat Imposition of Tax by Municipalities Validation Act, 1963"
,2 of 5,"Bombay Municipal Boroughs Act, 1925"
,3 of 5,"Ordinance for short may be stated. Punjab Excise Act, 1914"
,4 of 5,"Ordinance amending the Punjab Excise Act, 1914"
,5 of 5,"Provision in Punjab Excise Act, 1914"
3132,1 of 2,"We have the Uttar Pradesh Children Act, 1952"
,2 of 2,"The U.P. Children Act, 1951"
3133,1 of 4,"Rights to Property Act, 1937 or to the Hindu Succession Act, 1956"
,2 of 4,"Krishnammal, to invoke Section 8 of the Hindu Succession Act, 1956"
,3 of 4,"Hindu Womens Rights to Property Act, 1937"
,4 of 4,Hindu Succession Act. 1956
3134,1 of 1,"Notwithstanding anything companytained in the Com- panies Act, 1956"
3135,1 of 7,Sea Customs Act hereinafter referred to as the Act
,2 of 7,Schedule to section 167 of the Sea Customs Act
,3 of 7,Act and section 5 of the Imports and Exports Control Act
,4 of 7,Code and section 187A of the Act
,5 of 7,Imports and Exports Control Act the Control Act
,6 of 7,There is a companyresponding section in the Control Act
,7 of 7,Code was a companyspiracy to companymit offences under the Act
3136,1 of 4,"Sub Prayer u s 245M of the I.T. Act, 1961"
,2 of 4,"Tax Act, 1961, enacted by the Taxation Laws Amendment Act, 1975"
,3 of 4,"Indian Income-tax Act, 1922"
,4 of 4,"Chapter Chapter XIXA in the Income Tax Act, 1961"
3137,1 of 7,"There were some amendments made in section 85A by Finance Act, 1966"
,2 of 7,"Income Tax Act, 1961"
,3 of 7,"Indian Income-tax Act, 1922"
,4 of 7,"Act by Finance No. 2 Act, 1967"
,5 of 7,"Old Act by Finance Act, 1953"
,6 of 7,"Finance Act, 1964"
,7 of 7,"Finance Act, 1968"
3138,1 of 2,"Industrial Disputes Act, 1947"
